Zkm	TOTALNumden	N2Numdencm3	CH4Ndencm3	ArNdencm3	rhogcm3	Pergscm3	TempK	Fc
625.0	4.48988E+11	4.26523E+11	2.24651E+10	1.34696E+07	2.04215E-11	6.78962E-03	109.58	1.00000
620.0	5.15634E+11	4.89835E+11	2.57983E+10	1.54690E+07	2.34527E-11	7.75118E-03	108.93	1.00000
615.0	5.92622E+11	5.62973E+11	2.96487E+10	1.77787E+07	2.69545E-11	8.85942E-03	108.33	1.00000
610.0	6.81714E+11	6.47610E+11	3.41045E+10	2.04514E+07	3.10067E-11	1.01377E-02	107.76	1.00000
605.0	7.84805E+11	7.45544E+11	3.92603E+10	2.35442E+07	3.56957E-11	1.16133E-02	107.23	1.00000
600.0	9.03961E+11	8.58742E+11	4.52194E+10	2.71188E+07	4.11153E-11	1.33179E-02	106.76	1.00000
595.0	1.04189E+12	9.89774E+11	5.21173E+10	3.12567E+07	4.73890E-11	1.52882E-02	106.33	1.00000
590.0	1.20148E+12	1.14138E+12	6.00983E+10	3.60444E+07	5.46477E-11	1.75670E-02	105.95	1.00000
585.0	1.38599E+12	1.31667E+12	6.93254E+10	4.15797E+07	6.30399E-11	2.02035E-02	105.63	1.00000
580.0	1.59911E+12	1.51913E+12	7.99827E+10	4.79733E+07	7.27332E-11	2.32549E-02	105.38	1.00000
575.0	1.84550E+12	1.75320E+12	9.23043E+10	5.53650E+07	8.39401E-11	2.67872E-02	105.18	1.00000
570.0	2.12967E+12	2.02315E+12	1.06514E+11	6.38901E+07	9.68649E-11	3.08765E-02	105.06	1.00000
565.0	2.45760E+12	2.33469E+12	1.22914E+11	7.37280E+07	1.11781E-10	3.56106E-02	105.00	1.00000
560.0	2.83494E+12	2.69315E+12	1.41782E+11	8.50482E+07	1.28944E-10	4.10900E-02	105.03	1.00000
555.0	3.26791E+12	3.10446E+12	1.63433E+11	9.80373E+07	1.48637E-10	4.74286E-02	105.17	1.00000
550.0	3.76382E+12	3.57558E+12	1.88231E+11	1.12915E+08	1.71193E-10	5.47559E-02	105.42	1.00000
545.0	4.33114E+12	4.11454E+12	2.16599E+11	1.29934E+08	1.96997E-10	6.32184E-02	105.77	1.00000
540.0	4.97938E+12	4.73036E+12	2.49014E+11	1.49381E+08	2.26481E-10	7.29827E-02	106.21	1.00000
535.0	5.71826E+12	5.43229E+12	2.85961E+11	1.71548E+08	2.60089E-10	8.42385E-02	106.75	1.00000
530.0	6.55998E+12	6.23193E+12	3.28049E+11	1.96799E+08	2.98373E-10	9.71996E-02	107.37	1.00000
525.0	7.51719E+12	7.14129E+12	3.75913E+11	2.25516E+08	3.41911E-10	1.12109E-01	108.07	1.00000
520.0	8.60448E+12	8.17419E+12	4.30281E+11	2.58134E+08	3.91364E-10	1.29239E-01	108.84	1.00000
515.0	9.83641E+12	9.34452E+12	4.91880E+11	2.95092E+08	4.47398E-10	1.48896E-01	109.69	1.00000
510.0	1.12318E+13	1.06701E+13	5.61650E+11	3.36954E+08	5.10866E-10	1.71428E-01	110.60	1.00000
505.0	1.28108E+13	1.21702E+13	6.40602E+11	3.84324E+08	5.82683E-10	1.97225E-01	111.56	1.00000
500.0	1.45935E+13	1.38637E+13	7.29743E+11	4.37805E+08	6.63770E-10	2.26725E-01	112.58	1.00000
495.0	1.66061E+13	1.57757E+13	8.30376E+11	4.98183E+08	7.55311E-10	2.60422E-01	113.64	1.00000
490.0	1.88732E+13	1.79295E+13	9.43736E+11	5.66196E+08	8.58429E-10	2.98867E-01	114.75	1.00000
485.0	2.14271E+13	2.03557E+13	1.07143E+12	6.42813E+08	9.74589E-10	3.42680E-01	115.89	1.00000
480.0	2.43007E+13	2.30856E+13	1.21511E+12	7.29021E+08	1.10529E-09	3.92560E-01	117.06	1.00000
475.0	2.75296E+13	2.61532E+13	1.37657E+12	8.25888E+08	1.25216E-09	4.49280E-01	118.26	1.00000
470.0	3.11564E+13	2.95985E+13	1.55791E+12	9.34692E+08	1.41712E-09	5.13715E-01	119.48	1.00000
465.0	3.52291E+13	3.34676E+13	1.76154E+12	1.05687E+09	1.60236E-09	5.86845E-01	120.71	1.00000
460.0	3.97949E+13	3.78051E+13	1.98984E+12	1.19385E+09	1.81003E-09	6.69766E-01	121.96	1.00000
455.0	4.49159E+13	4.26700E+13	2.24589E+12	1.34748E+09	2.04295E-09	7.63703E-01	123.21	1.00000
450.0	5.06516E+13	4.81187E+13	2.53267E+12	1.51955E+09	2.30383E-09	8.70035E-01	124.47	1.00000
445.0	5.70749E+13	5.42209E+13	2.85385E+12	1.71225E+09	2.59599E-09	9.90291E-01	125.73	1.00000
440.0	6.42688E+13	6.10552E+13	3.21354E+12	1.92806E+09	2.92320E-09	1.12620E+00	126.98	1.00000
435.0	7.23160E+13	6.87002E+13	3.61590E+12	2.16948E+09	3.28922E-09	1.27968E+00	128.23	1.00000
430.0	8.13252E+13	7.72589E+13	4.06637E+12	2.43976E+09	3.69900E-09	1.45291E+00	129.46	1.00000
425.0	9.14015E+13	8.68314E+13	4.57020E+12	2.74204E+09	4.15730E-09	1.64832E+00	130.68	1.00000
420.0	1.02674E+14	9.75399E+13	5.13380E+12	3.08022E+09	4.67000E-09	1.86861E+00	131.88	1.00000
415.0	1.15281E+14	1.09517E+14	5.76418E+12	3.45843E+09	5.24345E-09	2.11682E+00	133.06	1.00000
410.0	1.29389E+14	1.22919E+14	6.46956E+12	3.88167E+09	5.88511E-09	2.39641E+00	134.21	1.00000
405.0	1.45163E+14	1.37904E+14	7.25828E+12	4.35489E+09	6.60258E-09	2.71119E+00	135.34	1.00000
400.0	1.62821E+14	1.54680E+14	8.14121E+12	4.88463E+09	7.40575E-09	3.06549E+00	136.43	1.00000
395.0	1.82578E+14	1.73449E+14	9.12903E+12	5.47734E+09	8.30436E-09	3.46416E+00	137.49	1.00000
390.0	2.04682E+14	1.94448E+14	1.02342E+13	6.14046E+09	9.30977E-09	3.91266E+00	138.52	1.00000
385.0	2.29449E+14	2.17977E+14	1.14726E+13	6.88347E+09	1.04363E-08	4.41713E+00	139.50	1.00000
380.0	2.57191E+14	2.44332E+14	1.28597E+13	7.71573E+09	1.16981E-08	4.98455E+00	140.44	1.00000
375.0	2.88271E+14	2.73857E+14	1.44137E+13	8.64813E+09	1.31117E-08	5.62270E+00	141.34	1.00000
370.0	3.23125E+14	3.06968E+14	1.61564E+13	9.69375E+09	1.46970E-08	6.34042E+00	142.19	1.00000
365.0	3.62254E+14	3.44141E+14	1.81129E+13	1.08676E+10	1.64767E-08	7.14771E+00	142.98	1.00000
360.0	4.06181E+14	3.85873E+14	2.03093E+13	1.21854E+10	1.84748E-08	8.05593E+00	143.72	1.00000
355.0	4.55520E+14	4.32744E+14	2.27761E+13	1.36656E+10	2.07189E-08	9.07788E+00	144.41	1.00000
350.0	5.10926E+14	4.85377E+14	2.55464E+13	1.53278E+10	2.32389E-08	1.02279E+01	145.06	1.00000
345.0	5.72011E+14	5.43411E+14	2.86007E+13	1.71603E+10	2.60173E-08	1.15210E+01	145.95	1.00000
340.0	6.40547E+14	6.08517E+14	3.20274E+13	1.92164E+10	2.91345E-08	1.29739E+01	146.77	1.00000
335.0	7.17439E+14	6.81566E+14	3.58721E+13	2.15232E+10	3.26320E-08	1.46066E+01	147.53	1.00000
330.0	8.03703E+14	7.63515E+14	4.01853E+13	2.41111E+10	3.65555E-08	1.64417E+01	148.24	1.00000
325.0	9.00664E+14	8.55631E+14	4.50334E+13	2.70199E+10	4.09659E-08	1.85049E+01	148.88	1.00000
320.0	1.00959E+15	9.59114E+14	5.04798E+13	3.02877E+10	4.59202E-08	2.08254E+01	149.48	1.00000
315.0	1.13204E+15	1.07543E+15	5.66020E+13	3.39612E+10	5.14897E-08	2.34359E+01	150.02	1.00000
310.0	1.26985E+15	1.20636E+15	6.34931E+13	3.80955E+10	5.77581E-08	2.63737E+01	150.50	1.00000
305.0	1.42489E+15	1.35365E+15	7.12449E+13	4.27467E+10	6.48101E-08	2.96811E+01	150.94	1.00000
300.0	1.59964E+15	1.51966E+15	7.99826E+13	4.79892E+10	7.27580E-08	3.34062E+01	151.33	1.00000
295.0	1.79665E+15	1.70682E+15	8.98331E+13	5.38995E+10	8.17190E-08	3.76038E+01	151.67	1.00000
290.0	2.01891E+15	1.91796E+15	1.00946E+14	6.05673E+10	9.18284E-08	4.23358E+01	151.95	1.00000
285.0	2.26988E+15	2.15639E+15	1.13494E+14	6.80964E+10	1.03244E-07	4.76733E+01	152.19	1.00000
280.0	2.55333E+15	2.42567E+15	1.27667E+14	7.65999E+10	1.16136E-07	5.36968E+01	152.39	1.00000
275.0	2.87389E+15	2.73020E+15	1.43695E+14	8.62167E+10	1.30716E-07	6.04983E+01	152.54	1.00000
270.0	3.23654E+15	3.07471E+15	1.61827E+14	9.70962E+10	1.47211E-07	6.81827E+01	152.66	1.00000
265.0	3.64738E+15	3.46501E+15	1.82369E+14	1.09421E+11	1.65897E-07	7.68702E+01	152.72	1.00000
260.0	4.11301E+15	3.90736E+15	2.05650E+14	1.23390E+11	1.87076E-07	8.66985E+01	152.75	1.00000
255.0	4.64117E+15	4.40912E+15	2.32059E+14	1.39235E+11	2.11099E-07	9.78242E+01	152.74	1.00000
250.0	5.24087E+15	4.97883E+15	2.62044E+14	1.57226E+11	2.38376E-07	1.10428E+02	152.69	1.00000
245.0	5.92276E+15	5.62662E+15	2.96138E+14	1.77683E+11	2.69390E-07	1.24716E+02	152.59	1.00000
240.0	6.69813E+15	6.36323E+15	3.34906E+14	2.00944E+11	3.04657E-07	1.40926E+02	152.46	1.00000
235.0	7.58104E+15	7.20194E+15	3.79051E+14	2.27431E+11	3.44815E-07	1.59331E+02	152.30	1.00000
230.0	8.58752E+15	8.15812E+15	4.29375E+14	2.57626E+11	3.90594E-07	1.80246E+02	152.10	1.00000
225.0	9.73539E+15	9.24859E+15	4.86768E+14	2.92062E+11	4.42803E-07	2.04031E+02	151.87	1.00000
220.0	1.10466E+16	1.04943E+16	5.52329E+14	3.31398E+11	5.02442E-07	2.31104E+02	151.60	1.00000
215.0	1.25460E+16	1.19187E+16	6.27305E+14	3.76380E+11	5.70644E-07	2.61948E+02	151.30	1.00000
210.0	1.42609E+16	1.35479E+16	7.13045E+14	4.27827E+11	6.48644E-07	2.97121E+02	150.98	1.00000
205.0	1.62261E+16	1.54148E+16	8.11307E+14	4.86783E+11	7.38027E-07	3.37263E+02	150.62	1.00000
200.0	1.84799E+16	1.75560E+16	9.24000E+14	5.54397E+11	8.40544E-07	3.83125E+02	150.23	1.00000
198.0	1.94711E+16	1.84975E+16	9.73558E+14	5.84133E+11	8.85626E-07	4.03261E+02	150.08	1.00000
196.0	2.05207E+16	1.94946E+16	1.02603E+15	6.15621E+11	9.33364E-07	4.24508E+02	149.91	1.00000
194.0	2.16282E+16	2.05467E+16	1.08141E+15	6.48846E+11	9.83734E-07	4.46935E+02	149.74	1.00000
192.0	2.28000E+16	2.16600E+16	1.14000E+15	6.84000E+11	1.03704E-06	4.70609E+02	149.57	1.00000
190.0	2.40401E+16	2.28381E+16	1.20200E+15	7.21203E+11	1.09344E-06	4.95603E+02	149.39	1.00000
188.0	2.53511E+16	2.40836E+16	1.26756E+15	7.60533E+11	1.15307E-06	5.21997E+02	149.21	1.00000
186.0	2.67372E+16	2.54004E+16	1.33686E+15	8.02116E+11	1.21612E-06	5.49873E+02	149.03	1.00000
184.0	2.82031E+16	2.67930E+16	1.41016E+15	8.46093E+11	1.28279E-06	5.79319E+02	148.85	1.00000
182.0	2.97554E+16	2.82676E+16	1.48777E+15	8.92662E+11	1.35340E-06	6.10427E+02	148.66	1.00000
180.0	3.13997E+16	2.98297E+16	1.56999E+15	9.41991E+11	1.42818E-06	6.43296E+02	148.46	1.00000
