time,year,month,day,hour,min,sec,number_of_passage,pos_ii_1,pos_ii_2,pos_ii_3,vel_ii_1,vel_ii_2,vel_ii_3,pos_ii_mag,vel_ii_mag,pos_pp_1,pos_pp_2,pos_pp_3,pos_pp_mag,vel_pp_1,vel_pp_2,vel_pp_3,vel_pp_mag,a,e,i,OMEGA,omega,vi,lat,lon,alt,gamma_ii,gamma_pp,h_ii_1,h_ii_2,h_ii_3,h_pp_1,h_pp_2,h_pp_3,h_ii_mag,h_pp_mag,uD_1,uD_2,uD_3,uE_1,uE_2,uE_3,uN_1,uN_2,uN_3,vN,vE,azi_pp,rho,T,p,wind_1,wind_2,wind_3,cL,cD,aoa,S,mass,heat_rate,heat_load,T_r,q,gravity_ii_1,gravity_ii_2,gravity_ii_3,drag_pp_1,drag_pp_2,drag_pp_3,drag_ii_1,drag_ii_2,drag_ii_3,lift_pp_1,lift_pp_2,lift_pp_3,lift_ii_1,lift_ii_2,lift_ii_3,force_ii_1,force_ii_2,force_ii_3,energy,t_cf,h_cf,gamma_cf,v_cf,srp_ii_1,srp_ii_2,srp_ii_3,V_0,gamma_0
0.0,2014.0,5.0,19.0,14.0,22.0,3.0,1,-1.3534931037854468e6,5.341695418780239e6,4.599941964958626e6,2020.3718431036177,-8084.387425736164,5617.567258924376,7.178099999999999e6,10049.690758543073,-3.5473624797449606e6,4.216855815214725e6,4.599941964958626e6,7.178099999999999e6,5650.990046119032,-6135.563012625825,5617.567258924376,10056.63382508171,3.960751999999999e7,0.8342173405454318,1.5686321185224237,1.8171495507138962,1.3178108517183187,5.660955390221132,0.698500792745825,2.2701792103107605,808769.1123599485,-0.2820597191479817,-0.28185965787461087,6.719504627231383e10,1.6896931770918194e10,1.4995161052449608e8,5.19117049435806e10,4.592177357845849e10,-2.0643442145977592e9,6.92871058155481e10,6.933899275138716e10,0.49298495429258593,-0.5860259511657002,-0.6430703067328434,-0.765239598974947,-0.6437455678765193,0.0,0.4139736597922617,-0.4921028636369372,0.765807143214613,9660.662293752399,-374.61986089856646,-0.038758445739542104,5.825282017388293e-42,300.0,0.0,0.0,0.0,0.0,2.8638892433826136e-17,2.26770860714723,1.5707963267948966,24.23039063500545,650.0000000001,2.9649308626604493e-34,0.0,0.0,2.9457252287372115e-34,946.8722338881869,-3736.924564630095,-3226.274439621616,-4.1277911388734215e-33,4.481749645428932e-33,-4.103377313385744e-33,-1.7603179058206386e-33,5.833182702514258e-33,-4.103377313385744e-33,3.263525485403357e-50,-4.034900216538445e-50,-7.689900729336494e-50,1.1774088378073373e-50,-5.054179140073329e-50,-7.689900729336494e-50,946.8722099187218,-3736.9246002836408,-3226.2744550773245,-5.031872735278554e6,NaN,NaN,NaN,NaN,-2.396946517979822e-5,-3.565354553100433e-5,-1.5455708948257705e-5,10049.690758543073,-0.2820597191479817
74.48817669864665,2014.0,5.0,19.0,14.0,23.0,17.0,1,-1.1990009871035356e6,4.723733008416536e6,5.003792983702545e6,2127.0157330173606,-8504.918690156586,5214.701374977757,6.984926708679914e6,10200.536666512851,-3.118563679380699e6,3.745105803515665e6,5.003792983702545e6,6.984926708679914e6,5859.321771948718,-6529.212346232145,5214.701374977757,10205.654115225416,3.954157788516615e7,0.8339423658502806,1.5686319484603826,1.8171493928226514,1.3178965096512836,5.763877084482222,0.8016338640881959,2.2651629356979965,617781.1251781201,-0.23560487878391997,-0.23548450490922523,6.718970948278369e10,1.689557849714569e10,1.499514772576542e8,5.2200435310210754e10,4.558121147855478e10,-1.5820154948672256e9,6.928160014448004e10,6.931836019017062e10,0.4450712140043528,-0.5344892578484958,-0.7184934569703859,-0.7684591621353998,-0.6398988327307367,0.0,0.4597631244400217,-0.5521328799432297,0.695533717580064,9925.893534864783,-324.61414054835404,-0.03269211831844561,3.338532856322854e-32,300.0,0.0,0.0,0.0,0.0,2.85767035594437e-17,2.2666929857545854,1.5707963267948966,24.58943918997205,650.0000000001,1.7758536865353255e-24,6.955068918259864e-24,0.0,1.7386307233515054e-24,909.626094068827,-3583.6747759007762,-3806.445397096276,-2.4881289258551922e-23,2.772594292309712e-23,-2.214394401907675e-23,-1.0494984949775215e-23,3.574439476402646e-23,-2.214394401907675e-23,1.755968194096661e-40,-2.173917299531021e-40,-4.6949477221809375e-40,6.470247568372309e-41,-2.718584132948447e-40,-4.6949477221809375e-40,909.626070099967,-3583.674811554833,-3806.4454125520037,-5.040264214513466e6,NaN,NaN,NaN,NaN,-2.396885994456966e-5,-3.565405679204519e-5,-1.545572793646315e-5,10200.536666512851,-0.23560487878391997
151.91704562823782,2014.0,5.0,19.0,14.0,24.0,34.0,1,-1.0302088541273213e6,4.0490667666906076e6,5.389081003806054e6,2231.5158786231073,-8916.161136801464,4725.495253900128,6.818978371414879e6,10334.79065722129,-2.6572084023695136e6,3.2242077275847965e6,5.389081003806054e6,6.818978371414879e6,6052.857880915859,-6921.81032608709,4725.495253900128,10338.2228700838,3.9461007718937196e7,0.8336019072323794,1.5686317583151017,1.8171491736827707,1.3179074262060928,5.8765895130022585,0.9143302576413601,2.260086259595966,454204.8305987986,-0.18459249551487353,-0.18453050685835912,6.718376039793176e10,1.689406688188391e10,1.499513644835739e8,5.2538174854554596e10,4.51759671188021e10,-1.122978595534771e9,6.927546205134962e10,6.929927058124689e10,0.3881578374928433,-0.47098356984383594,-0.7921540065732395,-0.771697804703772,-0.6359893853008702,0.0,0.5038015397041361,-0.6113035078598663,0.6103212513668225,10164.836229781715,-268.7792444293491,-0.026435903411165695,7.607393873655986e-24,300.0,0.0,0.0,0.0,0.0,2.852292657322644e-17,2.2658147409209777,1.5707963267948966,24.908849518724757,650.0000000001,4.2062339081904534e-16,1.9159115888968176e-15,0.0,4.065347623882949e-16,839.2787539710124,-3298.646410137186,-4402.826536368716,-5.930659612597715e-15,6.782069190227726e-15,-4.630094478211532e-15,-2.4757662216432125e-15,8.662549714564664e-15,-4.630094478211532e-15,3.661255399184401e-32,-4.539795917258199e-32,-1.1339481255679907e-31,1.3780263298127628e-32,-5.667061099260702e-32,-1.1339481255679907e-31,839.2787300027841,-3298.646445791784,-4402.826551824474,-5.05055525747145e6,NaN,NaN,NaN,NaN,-2.3968228333668055e-5,-3.565459797680726e-5,-1.545575808123993e-5,10334.79065722129,-0.18459249551487353
181.40907445269642,2014.0,5.0,19.0,14.0,25.0,4.0,1,-963843.0877987077,3.783935114767426e6,5.525450836883921e6,2268.803975838935,-9062.63526869088,4520.774661144386,6.765926795457408e6,10378.643120897235,-2.477718470004354e6,3.0179578582323845e6,5.525450836883921e6,6.765926795457408e6,6118.393257803511,-7064.2268298897625,4520.774661144386,10381.495089731294,3.942842443317567e7,0.8334631933346056,1.5686316847823683,1.8171490743383478,1.3178839520439642,5.920901593645546,0.9585598200460628,2.2582066916864103,402054.26686840784,-0.16450759325270392,-0.16446198831778722,6.7181463616016815e10,1.6893482235664371e10,1.499513282675953e8,5.267654546305078e10,4.500808802336047e10,-9.618877194259758e8,6.927309204184369e10,6.929265226143536e10,0.36466835212061816,-0.4441802941918336,-0.8183647470494371,-0.7728918261222059,-0.6345378043217614,0.0,0.5192833697270834,-0.6325074237810765,0.5746991741656768,10243.441245755206,-246.33715608842067,-0.02404364699612148,3.513897472070607e-21,300.0,0.0,0.0,0.0,0.0,2.8505678127911145e-17,2.265533052432063,1.5707963267948966,25.013109334080422,650.0000000001,1.9673685812122283e-13,9.803729021514221e-13,0.0,1.893559236074214e-13,803.5437538416461,-3154.6177813874965,-4619.837488820819,-2.780309282312232e-12,3.2101132764637953e-12,-2.0543223071826494e-12,-1.1563728015056006e-12,4.0862879116600154e-12,-2.0543223071826494e-12,1.6228628921868843e-29,-2.01354830146927e-29,-5.342773556047962e-29,6.156767577167146e-30,-2.5117728518308327e-29,-5.342773556047962e-29,803.5437298736579,-3154.617817042299,-4619.837504276594,-5.054728989685573e6,NaN,NaN,NaN,NaN,-2.3967987131586673e-5,-3.565480656791901e-5,-1.5455772694451182e-5,10378.643120897235,-0.16450759325270392
196.13402790870546,2014.0,5.0,19.0,14.0,25.0,19.0,1,-930302.1111345764,3.649966417652298e6,5.591242629239895e6,2286.7865654598263,-9133.21100545072,4414.924075173001,6.741640082873044e6,10398.869681633474,-2.3873973244864913e6,2.9134259700575443e6,5.591242629239895e6,6.741640082873044e6,6149.145513749891,-7133.4787603935165,4414.924075173001,10401.445301677935,3.941201697990478e7,0.8333931591450773,1.5686316482534266,1.8171490213971928,1.3178657857018552,5.9432831621757245,0.9808830813300569,2.257283050556674,378212.22448800877,-0.1543578585635585,-0.15431932988868952,6.718032332638512e10,1.689319171640438e10,1.4995131154154682e8,5.27475649963309e10,4.492154245475667e10,-8.846321265770779e8,6.927191533370988e10,6.92894881172897e10,0.3525890869847526,-0.430277018510611,-0.8309889428150521,-0.7734775815713328,-0.633823659077635,0.0,0.5267004523880919,-0.6427513178011051,0.5562889329468295,10279.784000460655,-234.8585908402647,-0.022842672631508368,5.807132374216591e-20,300.0,0.0,0.0,0.0,0.0,2.849777550532765e-17,2.2654039928111342,1.5707963267948966,25.06117724995826,650.0000000001,3.2700801911628517e-12,1.7291407051894446e-11,0.0,3.14137012667794e-12,783.8547267140923,-3075.39083841491,-4724.816819234705,-4.6264958653716634e-11,5.3670887958140366e-11,-3.321701841994903e-11,-1.920786249374274e-11,6.820607474314028e-11,-3.321701841994903e-11,2.622828056747318e-28,-3.255284629894268e-28,-8.912872446924108e-28,9.989582250844137e-29,-4.05933338140919e-28,-8.912872446924108e-28,783.8547027462065,-3075.390874069753,-4724.8168346905195,-5.056833302939512e6,NaN,NaN,NaN,NaN,-2.396786657971025e-5,-3.565491119467183e-5,-1.545578068311624e-5,10398.869681633474,-0.1543578585635585
206.62192524421002,2014.0,5.0,19.0,14.0,25.0,29.0,1,-906252.6167640892,3.553919679570243e6,5.637144048656353e6,2299.315945873714,-9182.357474977109,4338.095940851566,6.725253297797054e6,10412.570240303301,-2.3227946806120826e6,2.8383558208844485e6,5.637144048656353e6,6.725253297797054e6,6170.199585232858,-7181.9801812725755,4338.095940851566,10414.954567247647,3.940032755345655e7,0.8333431949859503,1.5686316223930705,1.8171489823363405,1.3178501310373791,5.959323040865804,0.9968743280493102,2.256632099172633,362139.14002757985,-0.14708213712496426,-0.1470482203232655,6.717951632875856e10,1.6892985998433067e10,1.4995130017103863e8,5.2798916701699814e10,4.4858810046312195e10,-8.309565474431534e8,6.927108253450076e10,6.928729271971805e10,0.34384833194655184,-0.4201679651792236,-0.839778069286597,-0.7738900060545076,-0.6333200285234584,0.0,0.5318482707939625,-0.6498958551246473,0.5429298245125933,10304.430799141464,-226.56390111491692,-0.021983494951815907,3.847612791214315e-19,300.0,0.0,0.0,0.0,0.0,2.84924418919383e-17,2.2653168882942545,1.5707963267948966,25.093726389922946,650.0000000001,2.1750949083144868e-11,1.203080127332179e-10,0.0,2.0867773958314846e-11,769.0898927155388,-3016.02759121825,-4797.979054263604,-3.079734268564407e-10,3.5847447355434005e-10,-2.1652756195011346e-10,-1.277010965623852e-10,4.5502088938478967e-10,-2.1652756195011346e-10,1.709152885014933e-27,-2.1217768237305775e-27,-5.943707532266727e-27,6.527833990307473e-28,-2.6451870081385456e-27,-5.943707532266727e-27,769.0898687476305,-3016.0276268727807,-4797.979069719607,-5.058333581861705e6,NaN,NaN,NaN,NaN,-2.396778067487522e-5,-3.5654985900366637e-5,-1.5455786660542286e-5,10412.570240303301,-0.14708213712496426
214.4087048539293,2014.0,5.0,19.0,14.0,25.0,37.0,1,-888312.6540082911,3.4822787179481713e6,5.670699227715339e6,2308.4616906027863,-9218.216437032137,4280.2972380812635,6.7135828118790155e6,10422.353577924529,-2.274689411911145e6,2.7822926733335126e6,5.670699227715339e6,6.7135828118790155e6,6185.358384948314,-7217.5244583437025,4280.2972380812635,10424.598894123748,3.939166520476462e7,0.8333061348092621,1.5686316033052319,1.8171489526106341,1.3178370223254279,5.97128289221437,1.0087942161731742,2.2561528641531594,350699.6384510966,-0.14165618989198184,-0.14162547341804982,6.7178920809053696e10,1.6892834125615992e10,1.4995129201813126e8,5.283745001714937e10,4.4811653823964966e10,-7.918508507795601e8,6.92704679589698e10,6.928569455900339e10,0.3372868115959246,-0.41255330059628353,-0.8461899201069272,-0.7741934263109042,-0.6329490806194307,0.0,0.5355951319611091,-0.6551146735573322,0.5328814306292088,10322.044935580036,-220.33833074711401,-0.02134314219905027,1.4780025142528373e-18,300.0,0.0,0.0,0.0,0.0,2.8488642877952837e-17,2.2652548456875525,1.5707963267948966,25.116963370774013,650.0000000001,8.378519970639833e-11,4.799407328175842e-10,0.0,8.030893830915919e-11,757.7331644099895,-2970.392546960139,-4851.354162210456,-1.1870056703773802e-9,1.3850842465311724e-9,-8.214135343987113e-10,-4.917379122539825e-10,1.7565974658836823e-9,-8.214135343987113e-10,6.482264321045082e-27,-8.048590174008845e-27,-2.2939066832595752e-26,2.480911681656734e-27,-1.0032179810233913e-26,-2.2939066832595752e-26,757.733140441781,-2970.3925826134237,-4851.354177667068,-5.0594459250200465e6,NaN,NaN,NaN,NaN,-2.3967716862347762e-5,-3.56550414694282e-5,-1.545579125837059e-5,10422.353577924529,-0.14165618989198184
220.4735336326511,2014.0,5.0,19.0,14.0,25.0,43.0,1,-874290.8749652341,3.426288111389997e6,5.696520845815761e6,2315.4895388910086,-9245.762247386074,4234.840053216322,6.7047881773485895e6,10429.74024682439,-2.237141209035376e6,2.738436409182372e6,5.696520845815761e6,6.7047881773485895e6,6196.879067574916,-7244.923799537973,4234.840053216322,10431.879088428177,3.9384936314740546e7,0.8332773271270998,1.5686315885168696,1.8171489290327028,1.3178259267819943,5.980627144487894,1.0181050559014448,2.2557821736687504,342083.64143322874,-0.13741636442358768,-0.13738801139720622,6.717845950566441e10,1.6892716442025272e10,1.499512858375311e8,5.286769963920618e10,4.477458598416364e10,-7.618416736797066e8,6.926999188489189e10,6.928446880744876e10,0.3321347386072201,-0.40655898576400473,-0.8511147434423031,-0.7744280013153174,-0.6326620510025576,0.0,0.5384679992247231,-0.6591270896540219,0.5249797076984429,10335.351704996418,-215.44832032183422,-0.02084274703042317,4.07283057878401e-18,300.0,0.0,0.0,0.0,0.0,2.8485779897239444e-17,2.265208089664258,1.5707963267948966,25.13450422539428,650.0000000001,2.3136495364892836e-10,1.3633171006585569e-9,0.0,2.216110637734021e-10,748.6572557532629,-2933.9373892083313,-4892.334463458417,-3.2792637272095823e-9,3.8338679136947806e-9,-2.2409921551819433e-9,-1.357525321135079e-9,4.858933913393755e-9,-2.2409921551819433e-9,1.768179816645676e-26,-2.1957228599925725e-26,-6.343814869377667e-26,6.778096141988991e-27,-2.736463569789782e-26,-6.343814869377667e-26,748.6572317842382,-2933.9374248585573,-4892.334478916453,-5.0603103279719725e6,NaN,NaN,NaN,NaN,-2.3967667146354487e-5,-3.565508480798629e-5,-1.5455794933918706e-5,10429.74024682439,-0.13741636442358768
225.43980153621166,2014.0,5.0,19.0,14.0,25.0,48.0,1,-862777.37766847,3.380315707621536e6,5.717459167608407e6,2321.180712917728,-9268.062784166817,4197.333709182145,6.697780111341278e6,10435.635004134438,-2.2063428219161127e6,2.7024008656727104e6,5.717459167608407e6,6.697780111341278e6,6206.123107027966,-7267.169537084905,4197.333709182145,10437.687836228772,3.93794421081043e7,0.8332537932360606,1.5686315764645424,1.8171489094493607,1.317816260059252,5.988297362156906,1.0257464187560852,2.2554803944306725,335220.96197809186,-0.1339357816690793,-0.13390928124661072,6.717808359858264e10,1.6892620517554928e10,1.4995128088623333e8,5.289262334158171e10,4.474401255402398e10,-7.375651131090679e8,6.926960393502272e10,6.928347758077077e10,0.3278892701067398,-0.4016095044611959,-0.8551014164853793,-0.7746188903202788,-0.6324283159054312,0.0,0.5407903487561972,-0.662377710349203,0.5184607675848751,10345.975454839772,-211.41640261918565,-0.020431807857313782,9.131338469968209e-18,300.0,0.0,0.0,0.0,0.0,2.8483498510838606e-17,2.2651708317968886,1.5707963267948966,25.14849978601195,650.0000000001,5.195897397722428e-10,3.1355622859185787e-9,0.0,4.97408329452766e-10,741.0762872647853,-2903.496459049824,-4925.488911225021,-7.367097589367183e-9,8.62663312584843e-9,-4.982525566672756e-9,-3.0480102073439065e-9,1.0927147832585252e-8,-4.982525566672756e-9,3.9307188662644886e-26,-4.881695337613512e-26,-1.426396778960303e-25,1.5087694975332553e-26,-6.083182947947426e-26,-1.426396778960303e-25,741.0762632941107,-2903.496494694017,-4925.488926685802,-5.061016340782143e6,NaN,NaN,NaN,NaN,-2.3967626429244922e-5,-3.56551203318667e-5,-1.5455798005068364e-5,10435.635004134438,-0.1339357816690793
229.6811780364025,2014.0,5.0,19.0,14.0,25.0,52.0,1,-852922.151636924,3.3409663070202735e6,5.735193352167816e6,2325.994965028366,-9286.922692759319,4165.102372415963,6.691933565730278e6,10440.558579469318,-2.1800038209861093e6,2.6715380217926167e6,5.735193352167816e6,6.691933565730278e6,6213.880614702533,-7286.029545787798,4165.102372415963,10442.538800913011,3.937476358381078e7,0.8332337449210443,1.568631566215866,1.8171488925284687,1.317807588579221,5.994860953319887,1.0322843004261761,2.255223978968479,329497.9064719938,-0.13095713740751744,-0.1309321610681288,6.717776398114162e10,1.6892538937875576e10,1.4995127673548412e8,5.291401756726835e10,4.471774587927154e10,-7.170460754228096e8,6.92692740734231e10,6.928264000964865e10,0.32424478744218804,-0.3973535595125868,-0.8584727523685579,-0.7747810292522631,-0.632229670856093,0.0,0.5427519456688976,-0.6651284026651345,0.5128591750575908,10354.851954092524,-207.95275672872503,-0.020079940087205816,1.7903799142945177e-17,300.0,0.0,0.0,0.0,0.0,2.848159528924267e-17,2.2651397498294634,1.5707963267948966,25.1601876699799,650.0000000001,1.0201790116374702e-9,6.286362017180353e-9,0.0,9.76174360488827e-10,734.496459730161,-2877.082250417658,-4953.507043911644,-1.4469233724039135e-8,1.6965769211725534e-8,-9.698583453380601e-9,-5.983452300037167e-9,2.148009190109729e-8,-9.698583453380601e-9,7.650274698345406e-26,-9.502030480138921e-26,-2.803531774916108e-25,2.9397728930178055e-26,-1.1839468803249186e-25,-2.803531774916108e-25,734.4964357565858,-2877.082286051329,-4953.507059377144,-5.061617692656927e6,NaN,NaN,NaN,NaN,-2.396759164219797e-5,-3.56551507005911e-5,-1.5455800674166488e-5,10440.558579469318,-0.13095713740751744
