time,year,month,day,hour,min,sec,number_of_passage,pos_ii_1,pos_ii_2,pos_ii_3,vel_ii_1,vel_ii_2,vel_ii_3,pos_ii_mag,vel_ii_mag,pos_pp_1,pos_pp_2,pos_pp_3,pos_pp_mag,vel_pp_1,vel_pp_2,vel_pp_3,vel_pp_mag,a,e,i,OMEGA,omega,vi,lat,lon,alt,gamma_ii,gamma_pp,h_ii_1,h_ii_2,h_ii_3,h_pp_1,h_pp_2,h_pp_3,h_ii_mag,h_pp_mag,uD_1,uD_2,uD_3,uE_1,uE_2,uE_3,uN_1,uN_2,uN_3,vN,vE,azi_pp,rho,T,p,wind_1,wind_2,wind_3,cL,cD,aoa,S,mass,heat_rate,heat_load,T_r,q,gravity_ii_1,gravity_ii_2,gravity_ii_3,drag_pp_1,drag_pp_2,drag_pp_3,drag_ii_1,drag_ii_2,drag_ii_3,lift_pp_1,lift_pp_2,lift_pp_3,lift_ii_1,lift_ii_2,lift_ii_3,force_ii_1,force_ii_2,force_ii_3,energy,t_cf,h_cf,gamma_cf,v_cf
0.0,2001,12,14,14,22,0.0,1,-2.8037999999806818e7,3.0726880786547586,-48.83897845738853,0.004587852776120996,36.48738453529123,-579.9503697315456,2.8037999999849524e7,581.0970320032886,-2.8037999999806818e7,3.0726880786547586,-48.83897845738853,2.8037999999849524e7,0.004805652158679911,2023.886994201598,-579.9503697315456,2105.341064215779,1.57611e7,0.7789367493385613,1.6336281798666923,6.283185307179586,0.0,3.1415943989986217,-1.7443664907660803e-6,3.141592543999663,2.4641799999849584e7,-0.0,-1.697490158473039e-6,-2.2737367544323206e-13,-1.6260648466645105e10,-1.0230332876075438e9,97062.56672271514,-1.6260648466655743e10,-5.6745743543048195e10,1.6292798582912664e10,5.902955275808017e10,0.9999999999984726,-1.0959013042616927e-7,1.7443664907651956e-6,-1.0959013042633601e-7,-0.999999999999994,0.0,-1.7443664907651852e-6,1.9116535123428782e-13,0.9999999999984786,-579.9503697386592,-2023.8869942021126,-1.8498709915004643,0.0,150.0,0.0,0.0,0.0,0.0,3.639943026018009e-17,2.3944478078989433,1.5707963267948966,8.843473230878073,461.0,0.0,0.0,0.0,0.0,25.11616885848825,-2.7524842226081913e-6,4.375325896667467e-5,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.11616885848825,-2.7524842226081913e-6,4.375325896667467e-5,-1.3586615147419914e6,0.0,0.0,0.0,0.0
0.0282804676919743,2001,12,14,14,22,0.0,1,-2.8037999999670677e7,4.1045683781689855,-65.24024615151862,0.00612862718382015,36.48738453511407,-579.9503697287294,2.8037999999746878e7,581.0970320146741,-2.8037999999606114e7,60.30915883006051,-65.24024615151862,2.8037999999746878e7,0.010476624802164087,2023.8869941748358,-579.9503697287294,2105.341064209859,1.5761100000011878e7,0.7789367493381977,1.6336281798666923,0.0,6.283185307179586,3.1415949850382545,-2.330165429970934e-6,3.14159050261045,2.464179999974699e7,-0.0,-2.2674749892868283e-6,1.3642420526593924e-12,-1.6260648466662956e10,-1.0230332876086675e9,97062.56672130118,-1.6260648466909178e10,-5.67457435425087e10,1.629279858293055e10,5.902955275763136e10,0.9999999999949718,-2.150979343200135e-6,2.3301654299688253e-6,-2.1509793432059747e-6,-0.9999999999976866,0.0,-2.3301654299634348e-6,5.012137706115612e-12,0.9999999999972852,-579.9503697414232,-2023.8869941926887,-1.8498709915029594,0.0,150.0,0.0,0.0,0.0,0.0,3.6399430260216e-17,2.39444780789953,1.5707963267948966,8.843473230853204,461.0,0.0,0.0,0.0,0.0,25.11616885864215,-3.6768326014389775e-6,5.844662347798375e-5,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.11616885864215,-3.6768326014389775e-6,5.844662347798375e-5,-1.3586615147409674e6,0.0,0.0,0.0,0.0
3.378133816600088,2001,12,14,14,22,3.0,1,-2.8037999700794138e7,126.33195526282562,-2007.9889281376345,0.18863509730249264,36.48738414616877,-579.9503635460878,2.8037999772981513e7,581.0970564047536,-2.8037998866745673e7,6840.033644397546,-2007.9889281376345,2.8037999772981513e7,0.6822097266900989,2023.886867283709,-579.9503635460878,2105.341051029694,1.5761100021112207e7,0.7789367486920713,1.63362817986675,0.0,6.283185307179586,3.141664415762767,-7.171871202191737e-5,3.1413486977518175,2.4641799773083936e7,-0.0,-6.979228603742503e-5,4.7730281949043274e-8,-1.626064849835785e10,-1.0230332896036814e9,97062.42257302115,-1.6260649005743528e10,-5.674574235765957e10,1.629279861468817e10,5.902955176705383e10,0.9999999676709881,-0.00024395583492855502,7.171871196043563e-5,-0.00024395583555595742,-0.9999999702427748,0.0,-7.171870982628576e-5,1.749619830130511e-8,0.9999999974282132,-579.9503755714546,-2023.8869734874957,-1.849870996874086,0.0,150.0,0.0,0.0,0.0,0.0,3.6399430340146495e-17,2.3944478092048938,1.5707963267948966,8.843473175489997,461.0,0.0,0.0,0.0,0.0,25.116169200303858,-0.00011316694477660884,0.0017988922881425524,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.116169200303858,-0.00011316694477660884,0.0017988922881425524,-1.3586615129220458e6,0.0,0.0,0.0,0.0
11.148084074882522,2001,12,14,14,22,11.0,1,-2.8037996563159972e7,409.8371016915466,-6514.174191492974,0.6119570015549569,36.4873800629912,-579.950298640239,2.803799732288671e7,581.097282981202,-2.8037987485563185e7,22565.5298912949,-6514.174191492974,2.8037997322886713e7,2.2402872401026945,2023.8856077285436,-579.950298640239,2105.340903737577,1.5761100000031725e7,0.7789367493443883,1.633628179867355,0.0,6.283185292278425,3.1418254595444197,-0.00023266474282756825,3.140787833877581,2.4641797323964644e7,-0.0,-0.0002264153964800052,1.6701524145901203e-6,-1.6260648466473127e10,-1.0230332876075428e9,97057.59296763502,-1.6260653809144974e10,-5.674572989497303e10,1.6292798582741026e10,5.902954110971486e10,0.9999996490662004,-0.0008048196035434832,0.0002326647407284327,-0.0008048196253270862,-0.9999996761326329,0.0,-0.0002326646653759157,1.8725314945988087e-7,0.9999999729335588,-579.9504251997752,-2023.8867552851777,-1.8498710480846106,0.0,150.0,0.0,0.0,0.0,0.0,3.639943123339266e-17,2.394447823792711,1.5707963267948966,8.843472556790292,461.0,0.0,0.0,0.0,0.0,25.11617297388035,-0.00036712821167556915,0.005835839343849169,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.11617297388035,-0.00036712821167556915,0.005835839343849169,-1.3586615147392568e6,0.0,0.0,0.0,0.0
21.62792170443955,2001,12,14,14,22,21.0,1,-2.8037987158155818e7,792.2188627736886,-12591.958240346145,1.1829189702293628,36.48736782373609,-579.9501040860637,2.80379899968941e7,581.0979698273183,-2.8037952996139385e7,43775.50456179072,-12591.958240346145,2.80379899968941e7,4.341765158019416,2023.8817894235826,-579.9501040860637,2105.3404645601922,1.5761100000118552e7,0.7789367493603347,1.6336281798691688,0.0,6.2831852813700175,3.1420426698465813,-0.0004497432027251296,3.140031360260062,2.4641790000921827e7,-0.0,-0.00043766333358725935,1.2090778909623623e-5,-1.6260648466002459e10,-1.0230332876075417e9,97026.54878829792,-1.6260668429796757e10,-5.6745692544561356e10,1.6292798582271286e10,5.902950923186715e10,0.9999986800474676,-0.0015612925375199749,0.00044974318756361563,-0.001561292695420488,-0.9999987811818168,0.0,-0.0004497426394084409,7.021807535581996e-7,0.9999998988655275,-579.9505769791976,-2023.8861014458835,-1.8498712029374274,0.0,150.0,0.0,0.0,0.0,0.0,3.639943389676418e-17,2.3944478672888683,1.5707963267948966,8.843470712028171,461.0,0.0,0.0,0.0,0.0,25.116184236400727,-0.0007096627443595908,0.011280739624020628,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.116184236400727,-0.0007096627443595908,0.011280739624020628,-1.3586615147317718e6,0.0,0.0,0.0,0.0
35.75806826315307,2001,12,14,14,22,35.0,1,-2.8037965004373103e7,1307.790530276646,-20786.735229117487,1.9527574446110252,36.48733899376366,-579.9496458072333,2.803797274028792e7,581.0995877131721,-2.803787162781408e7,72373.19244735842,-20786.735229117487,2.8037972740287915e7,7.175215157438958,2023.87278266241,-579.9496458072333,2105.3394300649425,1.5761100000323066e7,0.7789367493978979,1.6336281798734413,0.0,6.2831852650327376,3.1423355385088216,-0.0007424340995129979,3.1390113937613195,2.4641772751263984e7,-0.0,-0.0007224931180099694,5.4424512200057507e-5,-1.6260648464893751e10,-1.0230332876075375e9,96900.34483650327,-1.6260702869037142e10,-5.674560456454295e10,1.6292798581164764e10,5.902943414263753e10,0.9999963929474335,-0.0025812562506224213,0.0007424340313070154,-0.0025812569620276386,-0.9999966685506987,0.0,-0.0007424315579256805,1.9164130121574793e-6,0.9999997243958166,-579.9509345007169,-2023.8845613069213,-1.8498715676985853,0.0,150.0,0.0,0.0,0.0,0.0,3.63994401704189e-17,2.3944479697454253,1.5707963267948966,8.843466366636727,461.0,0.0,0.0,0.0,0.0,25.11621076565159,-0.0011715095082909322,0.018622217153478147,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.11621076565159,-0.0011715095082909322,0.018622217153478147,-1.3586615147141418e6,0.0,0.0,0.0,0.0
50.71927049350551,2001,12,14,14,22,50.0,1,-2.803792969120947e7,1853.6846633733799,-29463.474006247074,2.7678745966078457,36.48729303867194,-579.9489153089394,2.8037945233230855e7,581.1021666205417,-2.8037741835542105e7,102652.66116493846,-29463.474006247074,2.8037945233230855e7,10.175294835878997,2023.8584168492844,-579.9489153089394,2105.3377810804386,1.5761100000649069e7,0.778936749457774,1.6336281798802519,0.0,6.283185249467637,3.1426456325497654,-0.0010523399202867884,3.1379314385355426,2.4641745255282607e7,-0.0,-0.0010240760381190204,0.00015502260066568851,-1.6260648463126467e10,-1.0230332876075306e9,96600.36098109931,-1.6260757764769617e10,-5.674546432440224e10,1.6292798579400969e10,5.9029314450413994e10,0.9999927440537583,-0.0036612048475538517,0.0010523397260565415,-0.0036612068747992562,-0.99999329775965,0.0,-0.0010523326730227675,3.852833439662576e-6,0.9999994462903972,-579.9515043914837,-2023.8821063231464,-1.849872149129827,0.0,150.0,0.0,0.0,0.0,0.0,3.639945017063244e-17,2.394448133061306,1.5707963267948966,8.843459440086647,461.0,0.0,0.0,0.0,0.0,25.116253053403604,-0.0016605224993162017,0.0263955267590862,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.116253053403604,-0.0016605224993162017,0.0263955267590862,-1.3586615146860394e6,0.0,0.0,0.0,0.0
68.70319983738555,2001,12,14,14,23,8.0,1,-2.803787110359177e7,2509.868911367911,-39893.223958683244,3.7476783281258323,36.48721679497037,-579.9477033454359,2.8037899596624322e7,581.1064452386843,-2.80375264171038e7,139049.38430231667,-39893.223958683244,2.8037899596624322e7,13.78146879119428,2023.8345746079817,-579.9477033454359,2105.3350452781524,1.5761100001189904e7,0.7789367495571164,1.633628179891551,0.0,6.283185228330053,3.143018378245714,-0.0014248593680051256,3.1366332915460067,2.4641699637051634e7,-0.0,-0.001386592133482548,0.00038485205732285976,-1.6260648460194279e10,-1.0230332876075137e9,95914.86243718863,-1.6260848840307304e10,-5.674523165416952e10,1.6292798576474566e10,5.9029115870914795e10,0.9999866872898105,-0.004959336680048284,0.0014248588858745083,-0.00495934171433526,-0.9999877023892646,0.0,-0.001424841363514577,7.066362109758712e-6,0.9999989848880625,-579.9524498924284,-2023.8780332912513,-1.8498731137787343,0.0,150.0,0.0,0.0,0.0,0.0,3.639946676185445e-17,2.3944484040165244,1.5707963267948966,8.84344794836462,461.0,0.0,0.0,0.0,0.0,25.11632321270155,-0.002248340416664242,0.0357394312146545,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.11632321270155,-0.002248340416664242,0.0357394312146545,-1.3586615146394174e6,0.0,0.0,0.0,0.0
89.3756737643106,2001,12,14,14,23,29.0,1,-2.8037782229593996e7,3264.14882947251,-51882.159935532254,4.873963723250234,36.48710113725866,-579.9458648601235,2.8037830421901837e7,581.1129582448947,-2.8037198915235274e7,180886.69474144824,-51882.159935532254,2.8037830421901837e7,17.926691762455256,2023.7983187230054,-579.9458648601235,2105.3309020940073,1.5761100188249085e7,0.7789367439995948,1.6336281799086916,0.0,6.283185203941313,3.143446850088277,-0.001853071125232006,3.1351410752560476,2.4641630490279585e7,-0.0,-0.0018033069939868561,0.0008466001600027084,-1.62606487356671e10,-1.023033305218612e9,94537.4257299006,-1.6260987648640572e10,-5.674487872637618e10,1.6292798852509615e10,5.902881483639426e10,0.999977471740613,-0.006451522501442954,0.0018530700646971624,-0.006451533578311961,-0.9999791886406876,0.0,-0.0018530314997902148,1.195514374535846e-5,0.9999982830641937,-579.9538930550133,-2023.8718553828721,-1.849874581077591,0.0,150.0,0.0,0.0,0.0,0.0,3.6399491888205164e-17,2.3944488143609717,1.5707963267948966,8.843430544943056,461.0,0.0,0.0,0.0,0.0,25.1164294974188,-0.002924045963164454,0.046480390082150484,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.1164294974188,-0.002924045963164454,0.046480390082150484,-1.3586614985142672e6,0.0,0.0,0.0,0.0
106.52643850217417,2001,12,14,14,23,46.0,1,-2.8037690383068305e7,3889.9294906861996,-61828.65870954304,5.808382205417463,36.486981610582575,-579.9439648740762,2.8037758825045027e7,581.1196430381259,-2.8036861726705547e7,215596.07126735678,-61828.65870954304,2.8037758825045023e7,21.365679899039762,2023.761009861532,-579.9439648740762,2105.3266064217164,1.5761100002858145e7,0.7789367498635549,1.6336281799264054,0.0,6.283185185208326,3.143802330346537,-0.00220833563244156,3.133903068928919,2.4641558922154274e7,-0.0,-0.002149035299848777,0.001432932447642088,-1.6260648451149422e10,-1.0230332876074551e9,92788.40634404123,-1.626112976374243e10,-5.6744513958031944e10,1.6292798567447552e10,5.902850333131581e10,0.9999679969894993,-0.007689490130725859,0.002208333837526573,-0.007689508880610098,-0.9999704352895514,0.0,-0.002208268548776093,1.698100265501236e-5,0.9999975616278581,-579.9553664227311,-2023.8654695385824,-1.849876089383515,0.0,150.0,0.0,0.0,0.0,0.0,3.639951793943208e-17,2.3944492398097945,1.5707963267948966,8.843412500995896,461.0,0.0,0.0,0.0,0.0,25.116539629262,-0.0034846510847718016,0.05539172222899349,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.116539629262,-0.0034846510847718016,0.05539172222899349,-1.3586615144956096e6,0.0,0.0,0.0,0.0
