time,year,month,day,hour,min,sec,number_of_passage,pos_ii_1,pos_ii_2,pos_ii_3,vel_ii_1,vel_ii_2,vel_ii_3,pos_ii_mag,vel_ii_mag,pos_pp_1,pos_pp_2,pos_pp_3,pos_pp_mag,vel_pp_1,vel_pp_2,vel_pp_3,vel_pp_mag,a,e,i,OMEGA,omega,vi,lat,lon,alt,gamma_ii,gamma_pp,h_ii_1,h_ii_2,h_ii_3,h_pp_1,h_pp_2,h_pp_3,h_ii_mag,h_pp_mag,uD_1,uD_2,uD_3,uE_1,uE_2,uE_3,uN_1,uN_2,uN_3,vN,vE,azi_pp,rho,T,p,wind_1,wind_2,wind_3,cL,cD,aoa,S,mass,heat_rate,heat_load,T_r,q,gravity_ii_1,gravity_ii_2,gravity_ii_3,drag_pp_1,drag_pp_2,drag_pp_3,drag_ii_1,drag_ii_2,drag_ii_3,lift_pp_1,lift_pp_2,lift_pp_3,lift_ii_1,lift_ii_2,lift_ii_3,force_ii_1,force_ii_2,force_ii_3,energy
0.0016099999999999999,2014.0,5.0,19.0,4.0,0.0,35.0,1,-1.2978962573709276e6,5.122718545097709e6,4.361229134396704e6,1953.195456699144,-7813.750521851014,5224.020923615851,6.851795352307019e6,9600.003350008446,-5.071469952895833e6,1.485588268686921e6,4.361229134396704e6,6.851795352307021e6,7721.667295127247,-2290.32914195529,5224.02092361585,9600.007708616884,1.2192988270269033e8,0.949023593839995,1.5686321185224104,1.817149550713885,1.3178108517226375,5.655339795810159,0.6899634076383905,2.8566341844594425,799995.3523070216,-0.3054315745179365,-0.30543143136608,6.083874529018947e10,1.5298570136116013e10,1.357669701072693e8,1.7749394380751938e10,6.016942552104406e10,1.4411707732344246e8,6.273290690988569e10,6.2732938223455734e10,0.7401665829362889,-0.2168173730096475,-0.6365089600827416,-0.2811175954698295,-0.95967332854324,0.0,0.6108406723702009,-0.178933868353462,0.7712693068795016,9155.652892428454,27.271248095622013,0.0029786152625557263,3.92413917867085e-17,290.4388419157089,0.0,-110.73895390015714,131.89609308146177,0.0,2.7943745774352516e-17,2.2563560006657926,1.5707963267948966,28.979458576649698,650.0000000001,1.7369513012829018e-9,2.7964236357822775e-12,0.0,1.8560973752495602e-9,851.9855348349116,-3362.7357153295657,-2862.896693604754,-3.8586875798061125e-8,1.0874836802945235e-8,-2.6234444239631303e-8,-1.0244181544925817e-8,3.875907382562552e-8,-2.6234444239631306e-8,3.1193211196094703e-25,-9.082783108873009e-26,-4.9645509479648955e-25,8.030076750330005e-26,-3.148064867677931e-25,-4.9645509479648955e-25,851.9855348246674,-3362.7357152908066,-2862.8966936309885,-1.3321533031903356e6
0.18346066804758887,2014.0,5.0,19.0,4.0,0.0,35.0,1,-1.2975410457979357e6,5.121297523798046e6,4.362179053248028e6,1953.433811682616,-7814.691292902305,5223.219790963981,6.851270479654578e6,9600.381692657109,-5.07006567789178e6,1.48517174584429e6,4.362179053248028e6,6.851270479654578e6,7722.598903869212,-2290.601125008975,5223.21979096398,9600.386051021705,1.2192987691234824e8,0.9490235914281369,1.5686321185208865,1.8171495507126272,1.317810852699705,5.655582810805273,0.6902064226536436,2.8566351231955007,799470.4796545785,-0.3053135791977653,-0.30531343611844897,6.0838745247214966e10,1.529857012522824e10,1.3576697010692024e8,1.774939070273494e10,6.016942656534601e10,1.4411244913366508e8,6.273290686555358e10,6.273293817380862e10,0.7400183211198221,-0.21677318830932643,-0.6366963713083412,-0.28111669458974803,-0.9596735924380405,0.0,0.6110206939457403,-0.17898597935948776,0.7711146028722261,9156.354281811997,27.277932981855884,0.0029791171730334702,3.934464420206234e-17,290.4398590615302,0.0,-110.73275381373648,131.93498855937312,0.0,2.7943612803206214e-17,2.256353829082175,1.5707963267948966,28.980549929184125,650.0000000001,1.7417274216211001e-9,3.190962305225902e-10,0.0,1.8611418711908953e-9,851.9481273059961,-3362.575580099249,-2864.1784145241604,-3.86948661937794e-8,1.0905352035195624e-8,-2.6300673491747055e-8,-1.0272779702318056e-8,3.88675876528719e-8,-2.630067349174706e-8,3.127184849986371e-25,-9.105649706090386e-26,-4.978428819700475e-25,8.050345242755636e-26,-3.155999535235857e-25,-4.978428819700475e-25,851.9481272957233,-3362.575580060381,-2864.178414550461,-1.3321533664531335e6
1.6506166089566388,2014.0,5.0,19.0,4.0,0.0,36.0,1,-1.2946736432841064e6,5.109826585991087e6,4.369837582964572e6,1955.3564527491533,-7822.279699588673,5216.743198024983,6.847042287221946e6,9603.431061347019,-5.058729908722415e6,1.4818094655228755e6,4.369837582964572e6,6.847042287221946e6,7730.113424477553,-2292.794947963396,5216.743198024982,9603.435417746843,1.2192983016791189e8,0.9490235719559083,1.568632118508575,1.8171495507024413,1.3178108605169994,5.657544797033745,0.6921684089595345,2.856642714822712,795242.2872219458,-0.3043609316009062,-0.304360789106435,6.083874490127963e10,1.5298570037580124e10,1.3576697010692215e8,1.7749360983677242e10,6.0169435004834175e10,1.4407513587379837e8,6.273290650868884e10,6.273293777414401e10,0.7388197263164407,-0.21641599443430504,-0.6382080611828015,-0.281109409097489,-0.9596757265435344,0.0,0.6124727848015454,-0.17940629096035143,0.7698639299520984,9162.008353450714,27.33204049066535,0.002983184292867472,4.019070472379854e-17,290.4480766944039,0.0,-110.68246128656955,132.24872862858734,0.0,2.794254159117638e-17,2.256336334862118,1.5707963267948966,28.989344903753178,650.0000000001,1.780876488745386e-9,2.9030659234256233e-9,0.0,1.902487087459798e-9,851.6411530353251,-3361.2629932476757,-2874.5254984135095,-3.9580191403719275e-8,1.1155528146648008e-8,-2.684307895579838e-8,-1.0507226829961551e-8,3.9757207448831793e-8,-2.6843078955798383e-8,3.191586805417215e-25,-9.292918695207784e-26,-5.092201176771563e-25,8.216341209814765e-26,-3.220982317012885e-25,-5.092201176771563e-25,851.6411530248179,-3361.2629932079185,-2874.5254984403527,-1.332153877162926e6
4.684284253189038,2014.0,5.0,19.0,4.0,0.0,39.0,1,-1.2887357141685598e6,5.08607260023283e6,4.385643047733271e6,1959.3296819182826,-7837.960777436214,5203.27727723787,6.8383359948121775e6,9609.718849940118,-5.035255757411615e6,1.474847006731848e6,4.385643047733271e6,6.838335994812179e6,7745.641925410655,-2297.3281794643995,5203.277277237869,9609.723202291543,1.219297327287981e8,0.9490235313607521,1.5686321184830172,1.8171495506811663,1.317810876503541,5.661609312430658,0.6962329242283603,2.856658514509838,786535.9948121794,-0.30238733834435244,-0.3023871970569047,6.083874418314281e10,1.5298569855620543e10,1.357669701069336e8,1.7749299276159885e10,6.01694525280296e10,1.439981334034481e8,6.2732905767861305e10,6.273293694527558e10,0.7363276331013204,-0.21567337548940604,-0.6413319045832766,-0.281094246486181,-0.9596801678644642,0.0,0.6154735098473154,-0.18027470846638347,0.7672635715082445,9173.67269693879,27.44491233307872,0.002991694968873457,4.201642943025291e-17,290.4651326173109,0.0,-110.57692926234924,132.89707477138273,0.0,2.794033562099713e-17,2.2563003086351148,1.5707963267948966,29.007473794268304,650.0000000001,1.8654335118439377e-9,8.43265330280188e-9,0.0,1.9917658940453852e-9,850.9770906297773,-3358.432001607324,-2895.955168962245,-4.1493241085886144e-8,1.1696158689579121e-8,-2.801186593844356e-8,-1.1013795959953974e-8,4.1679557128834626e-8,-2.8011865938443565e-8,3.3303582584524317e-25,-9.696424885355224e-26,-5.33803963174032e-25,8.574037218024486e-26,-3.3610045437420926e-25,-5.33803963174032e-25,850.9770906187636,-3358.4320015656444,-2895.955168990257,-1.3321549417424202e6
9.269143009002974,2014.0,5.0,19.0,4.0,0.0,44.0,1,-1.2797387097612724e6,5.050082375666247e6,4.409452336784428e6,1965.3284058838667,-7861.633971308166,5182.735816548293,6.825271648560952e6,9619.176419316424,-4.99968933105471e6,1.4642983846245294e6,4.409452336784428e6,6.825271648560953e6,7769.085050309246,-2304.1713343300553,5182.735816548292,9619.180765585988,1.219295834637216e8,0.9490234691606716,1.5686321184441347,1.8171495506484612,1.3178109001963767,5.667771721352837,0.7023953322010931,2.8566826589732983,773471.6485609533,-0.29939493227406416,-0.29939479280503445,6.083874309061339e10,1.5298569578776478e10,1.3576697010694504e8,1.7749205358620712e10,6.0169479197434685e10,1.4388214799366188e8,6.273290464080629e10,6.273293568633248e10,0.7325260573487722,-0.21454067471926405,-0.646047888469629,-0.28107107544150417,-0.9596869544545014,0.0,0.6200037305171796,-0.18158537479887157,0.7632968792048961,9191.231603756873,27.618080097643087,0.003004820046707264,4.498556532533473e-17,290.4910733068301,0.0,-110.4134275768263,133.87590619757864,0.0,2.793702486525554e-17,2.256246239890659,1.5707963267948966,29.034725485916443,650.0000000001,2.0031568338853745e-9,1.7296359151196013e-8,0.0,2.137120762921834e-9,849.8978214525722,-3353.8518265462408,-2928.428522650591,-4.461151045900718e-8,1.2577493772503068e-8,-2.990799499621746e-8,-1.1839407761851474e-8,4.481304094658241e-8,-2.990799499621746e-8,3.5554790047109044e-25,-1.0350966234295073e-25,-5.738740098166779e-25,9.154341560287385e-26,-3.5881522095294634e-25,-5.738740098166779e-25,849.8978214407327,-3353.8518265014277,-2928.4285226804986,-1.3321565725542605e6
15.178984662657985,2014.0,5.0,19.0,4.0,0.0,50.0,1,-1.2681011097815086e6,5.0035313144191345e6,4.44000243286717e6,1973.0489056437293,-7892.098569411495,5155.919529638096,6.808599536091718e6,9631.284857664237,-4.9536860953648025e6,1.4506550615468137e6,4.44000243286717e6,6.808599536091718e6,7799.254064800874,-2312.976743646854,5155.919529638095,9631.289196159965,1.2192938752019657e8,0.9490233874860495,1.568632118393568,1.8171495506053137,1.317810929867547,5.675749718994321,0.7103733272265798,2.8567142647331387,756799.5360917188,-0.29552063647975324,-0.29552049934442437,6.083874166978394e10,1.529856921870229e10,1.3576697010696793e8,1.7749083131554787e10,6.0169513905053116e10,1.4373334851263046e8,6.273290317506677e10,6.273293405267043e10,0.727563145564047,-0.21306218024089016,-0.6521168427267829,-0.28104074366572046,-0.9596958374400812,0.0,0.6258338194894617,-0.18327140243687676,0.7581184758545674,9213.73730759311,27.84599056406887,0.0030222161599131304,4.9228163122422704e-17,290.5247998550498,0.0,-110.19538113687372,135.13562849499723,0.0,2.7932798940522635e-17,2.2561772253023573,1.5707963267948966,29.06958634500172,650.0000000001,2.200360278836797e-9,2.970582502564625e-8,0.0,2.3451363448272663e-9,848.3706593642322,-3347.4059186768823,-2970.431586875177,-4.9081160416044286e-8,1.3840991085675755e-8,-3.260814599521353e-8,-1.3022630158302644e-8,4.930460876813946e-8,-3.260814599521353e-8,3.8760412414569543e-25,-1.128291989076812e-25,-6.313063040880063e-25,9.980739619746036e-26,-3.911596462381875e-25,-6.313063040880063e-25,848.3706593512096,-3347.4059186275776,-2970.431586907785,-1.3321587133626342e6
22.100252296388515,2014.0,5.0,19.0,4.0,0.0,57.0,1,-1.2544138722178019e6,4.948784738610985e6,4.475577867854061e6,1982.0720605404194,-7927.698468890964,5124.027315220897,6.7893167405230515e6,9645.344399966285,-4.899583317484875e6,1.4346107022273864e6,4.475577867854061e6,6.7893167405230515e6,7834.5092657659525,-2323.265105461822,5124.0273152208965,9645.348729452915,1.219291530018397e8,0.9490232896994448,1.5686321183337202,1.8171495505533413,1.3178109633027268,5.685142591304778,0.7197661943860632,2.856751994182597,737516.7405230505,-0.29095887925052827,-0.29095874483376216,6.083873998817992e10,1.5298568792482628e10,1.3576697010699844e8,1.774893831208392e10,6.016955502735278e10,1.4356011344802284e8,6.273290144029572e10,6.2732932124219795e10,0.7216607362329969,-0.211304135166459,-0.6592088775503586,-0.2810045346701025,-0.9597064402695437,0.0,0.6326470052679362,-0.1852406838864391,0.7519598764287867,9239.904988487207,28.11985357004278,0.003043296093729856,5.4881715634046654e-17,290.5647100694609,0.0,-109.92924067942609,136.60781875880946,0.0,2.7927910182689504e-17,2.256097385828044,1.5707963267948966,29.110022060642525,650.0000000001,2.4638125549091312e-9,4.582501184768016e-8,0.0,2.6228466492950333e-9,846.3843913334814,-3339.068748836688,-3019.8163352643865,-5.505996609452723e-8,1.5531453732812865e-8,-3.6191031556668964e-8,-1.4605050546765713e-8,5.531291368126808e-8,-3.619103155666897e-8,4.301374233216988e-25,-1.2519328152491354e-25,-7.081253145165131e-25,1.1077347722998596e-25,-4.340746449899883e-25,-7.08125314516513e-25,846.3843913188764,-3339.0687487813752,-3019.8163353005775,-1.332161275634788e6
29.74862918374033,2014.0,5.0,19.0,4.0,1.0,4.0,1,-1.2392161880085377e6,4.8880006100519365e6,4.514631652585501e6,1992.017103407819,-7966.929323820553,5088.171789104685,6.768316310798233e6,9660.723945256994,-4.839513388261481e6,1.4167981117041365e6,4.514631652585501e6,6.768316310798234e6,7873.361174653487,-2334.6010936422117,5088.171789104684,9660.728264909281,1.2192888757780342e8,0.9490231789853494,1.5686321182668193,1.8171495504940698,1.3178109984968656,5.695584020381999,0.730207615010731,2.856794617765164,716516.3107982343,-0.28588742217099467,-0.2858872907403052,6.083873810842462e10,1.5298568315963512e10,1.3576697010703087e8,1.774877617634763e10,6.0169601066474884e10,1.4337000391765785e8,6.2732899501089966e10,6.273292997473371e10,0.7150247071846327,-0.20932799926087442,-0.6670243300217538,-0.2809636282881577,-0.9597184168177424,0.0,0.6401555339873929,-0.18740957591938945,0.7450359341394417,9268.573149893902,28.431543037518622,0.003067511406656708,6.21448000754435e-17,290.6093256431508,0.0,-109.62111525988091,138.23032088154258,0.0,2.7922584849232653e-17,2.256010416532725,1.5707963267948966,29.15419987622832,650.0000000001,2.8032368991158053e-9,6.593194362771702e-8,0.0,2.980370067790552e-9,843.9369626954921,-3328.8496619223656,-3074.609014855712,-6.277408577988352e-8,1.771308498202146e-8,-4.0771237890317463e-8,-1.6646297618907752e-8,6.306536292342443e-8,-4.077123789031747e-8,4.845061819598753e-25,-1.409957616833628e-25,-8.0723333994848805e-25,1.2479271963283563e-25,-4.889302836771803e-25,-8.0723333994848805e-25,843.9369626788458,-3328.8496618593003,-3074.609014896483,-1.3321641755843312e6
37.90439311494931,2014.0,5.0,19.0,4.0,1.0,12.0,1,-1.2229266337077993e6,4.822854090361526e6,4.555971264058471e6,2002.5883427645165,-8008.622987157347,5049.2259208995765,6.746283813128183e6,9676.935704100011,-4.775131630796348e6,1.3977084949720446e6,4.555971264058471e6,6.746283813128184e6,7914.653178304164,-2346.6466904869235,5049.225920899576,9676.94001340804,1.2192859738224365e8,0.9490230578920161,1.5686321181946241,1.8171495504286992,1.3178110338613147,5.706789163136996,0.7414127453738155,2.8568411910099067,694483.8131281845,-0.28044450263276616,-0.2804443743655367,6.083873607993695e10,1.5298567801649494e10,1.3576697010707474e8,1.7748600851430717e10,6.01696508512672e10,1.4316885597445488e8,6.2732897408425674e10,6.273292766217855e10,0.7078165940045394,-0.20718198843815633,-0.6753305064326834,-0.280918930782749,-0.9597315011647148,0.0,0.6481359607209664,-0.18971312379204183,0.7375152249827629,9298.842006623,28.774842598733358,0.0030944445268394345,7.130525759076021e-17,290.65748874714575,0.0,-109.27566178982222,139.95487019434796,0.0,2.791699687893091e-17,2.2559191580522286,1.5707963267948966,29.20070414443988,650.0000000001,3.232661966256396e-9,9.04935507989394e-8,0.0,3.432322934240854e-9,841.029640861111,-3316.7674427405245,-3133.2608255198165,-7.25491966738973e-8,2.0478315994164715e-8,-4.6516041766186194e-8,-1.9232260621568754e-8,7.288941977659551e-8,-4.65160417661862e-8,5.526937418559989e-25,-1.6081182288179751e-25,-9.32810287707155e-25,1.4237759180807988e-25,-5.577270264352304e-25,-9.32810287707155e-25,841.0296408418787,-3316.767442667635,-3133.2608255663326,-1.3321673461951464e6
46.41115256871552,2014.0,5.0,19.0,4.0,1.0,21.0,1,-1.2058443410420339e6,4.754542284160432e6,4.598748262220497e6,2013.5735182579667,-8051.94093007056,5007.818451509332,6.723705710838974e6,9693.630728372762,-4.707620977991525e6,1.3776928664498173e6,4.598748262220497e6,6.723705710838974e6,7957.555025270005,-2359.159260030513,5007.818451509331,9693.635027050737,1.2192828694250904e8,0.9490229283009202,1.5686321181184175,1.8171495503580868,1.3178110682056237,5.718554093689559,0.7531776590621068,2.8568910595537482,671905.7108389745,-0.27472909635194853,-0.27472897136180124,6.083873393876402e10,1.5298567258660446e10,1.3576697010712433e8,1.7748415304486893e10,6.0169703540282776e10,1.4296083024622345e8,6.2732895199485634e10,6.273292522866319e10,0.7001527402370671,-0.2049008278617702,-0.6839603724486436,-0.2808710700210223,-0.9597455089893602,0.0,0.6564278957842758,-0.19210468166162747,0.7295191628188479,9330.066163756688,29.145510106197435,0.0031238165723293304,8.276143871888491e-17,290.70836464045647,0.0,-108.89596606885543,141.74682331734792,0.0,2.791126994262966e-17,2.255825630084733,1.5707963267948966,29.24852259691987,650.0000000001,3.77147980480808e-9,1.2021202208591894e-7,0.0,3.998915915781112e-9,837.6637540849116,-3302.837358977536,-3194.6465557166034,-8.483535454520201e-8,2.395487728715404e-8,-5.36570442132797e-8,-2.248163135815992e-8,8.523760776868705e-8,-5.365704421327971e-8,6.374462561547808e-25,-1.854378946765524e-25,-1.0906325910006842e-24,1.642376424643179e-25,-6.43234746469422e-25,-1.0906325910006842e-24,837.6637540624299,-3302.8373588922987,-3194.6465557702604,-1.3321707380059212e6
