TU	Ls	Pmb	-90	-80	-70	-60	-50	-40	-30	-20	-10	0	10	20	30	40	50	60	70	80	90
1	270	800	82.58	82.73	83.05	83.05	83.28	83.52	83.52	83.67	83.67	83.52	83.52	83.44	83.28	82.97	82.66	82.50	82.11	81.87	81.64
1	270	600	78.36	78.52	78.75	78.91	79.14	79.37	79.53	79.45	79.53	79.45	79.53	79.37	79.06	78.98	78.67	78.28	78.05	77.81	77.66
1	270	500	76.02	76.17	76.33	76.41	76.87	77.19	77.27	77.34	77.34	77.27	77.34	77.27	76.95	76.80	76.33	76.02	75.62	75.39	75.23
1	270	400	73.83	73.83	74.06	74.14	74.45	74.77	74.77	74.77	74.84	74.84	74.77	74.77	74.69	74.30	74.14	74.06	73.91	73.28	72.81
1	270	300	73.59	73.20	72.97	73.67	73.59	73.05	73.44	73.05	73.12	73.36	73.67	73.91	73.83	73.44	73.12	73.05	73.05	72.50	71.87
1	270	200	72.81	72.81	72.73	73.20	72.97	72.58	72.89	72.73	72.81	73.05	73.52	73.52	73.05	73.20	72.81	72.58	72.42	72.11	71.41
1	270	150	72.42	72.58	72.73	73.12	72.89	72.81	73.12	72.81	73.20	73.52	73.91	73.75	73.12	73.36	72.81	72.81	72.27	71.80	71.25
1	270	100	73.12	73.12	73.12	73.83	73.67	74.06	74.06	74.53	74.77	75.00	74.77	74.61	74.22	73.98	73.59	73.67	73.20	72.89	71.80
1	270	80	74.14	73.83	74.14	74.61	74.45	75.47	76.02	76.72	77.03	77.19	77.03	76.80	76.41	75.55	74.77	74.37	74.30	74.06	73.67
1	270	60	78.75	78.75	78.75	78.98	79.06	79.37	79.69	79.84	79.92	79.92	79.84	80.00	80.00	79.77	80.00	80.55	80.94	81.09	81.48
1	270	50	85.55	85.62	85.94	86.17	86.02	86.17	86.17	86.33	87.11	87.34	87.34	87.66	88.36	88.83	89.53	90.94	91.56	92.58	93.12
1	270	40	97.11	97.19	99.06	100.23	101.09	101.72	102.42	102.73	103.52	103.59	103.52	104.14	105.00	105.55	106.25	106.56	105.78	104.53	105.08
1	270	30	112.03	113.44	116.48	119.45	120.39	120.70	121.02	121.48	121.48	121.48	121.48	121.48	121.48	121.17	120.94	119.69	116.88	114.61	113.52
1	270	20	129.00	129.56	131.72	134.53	135.66	136.97	137.63	138.28	138.84	139.03	139.03	138.66	137.44	135.84	132.94	129.47	124.97	121.88	121.31
1	270	15	138.47	138.28	139.69	141.09	142.41	143.53	144.56	145.03	145.50	145.78	145.69	145.22	143.63	141.56	138.00	133.22	127.97	125.06	124.50
1	270	10	146.72	146.63	146.63	147.00	147.66	148.59	149.53	150.09	150.66	150.66	150.56	150.09	149.06	146.91	143.91	138.09	132.28	129.94	130.03
1	270	8	149.53	149.16	148.97	149.06	149.81	150.56	151.13	151.50	151.97	152.06	151.97	151.50	150.84	149.16	146.25	140.72	134.91	131.72	131.63
1	270	6	152.63	152.25	151.78	151.69	152.06	152.53	153.00	153.38	153.75	153.94	153.84	153.38	152.53	151.22	148.59	144.00	137.44	134.06	133.97
1	270	5	154.59	154.22	153.56	153.38	153.47	153.66	154.22	154.59	154.97	155.06	154.97	154.50	153.75	152.34	150.09	145.50	139.03	135.47	135.38
1	270	4	156.47	156.00	155.44	155.16	155.06	155.25	155.44	155.81	156.28	156.38	156.19	155.72	155.16	153.66	151.13	146.53	141.00	137.25	136.88
1	270	3	158.72	158.25	157.59	157.22	156.84	156.75	157.03	157.41	157.78	157.97	157.78	156.94	156.19	155.16	152.06	147.94	143.34	139.41	138.75
1	270	2	161.34	160.97	160.41	160.03	159.38	158.81	159.19	159.66	160.13	160.03	159.94	159.09	157.69	156.56	153.66	149.63	147.66	145.50	143.91
1	270	1.5	163.03	162.56	161.72	161.34	160.78	160.50	160.59	160.97	161.25	161.34	161.25	160.41	158.72	157.50	154.69	152.25	151.78	151.13	149.81
1	270	1	165.47	164.81	163.59	163.03	162.66	162.47	162.47	162.75	163.03	163.03	163.03	162.47	160.50	159.00	157.31	156.84	157.97	157.88	157.59
1	270	0.8	167.06	166.50	164.53	163.97	163.78	163.50	163.50	163.78	163.97	164.06	163.97	163.50	162.00	159.75	158.81	159.56	161.44	161.53	161.25
1	270	0.6	169.13	168.84	167.81	165.75	165.19	164.91	164.81	165.00	165.28	165.47	165.38	164.91	163.97	162.19	162.00	164.25	166.41	166.50	165.94
1	270	0.5	170.63	170.44	170.34	167.91	166.59	166.31	166.22	166.31	166.50	166.59	166.50	166.22	165.28	164.06	164.72	167.72	169.88	169.97	169.97
1	270	0.4	172.22	172.41	172.22	170.34	168.38	168.00	167.81	167.91	168.09	168.09	168.00	167.81	167.34	167.06	169.03	172.59	174.75	175.22	174.75
1	270	0.3	174.38	174.56	173.91	173.16	171.19	170.53	170.25	170.34	169.97	170.06	169.88	170.06	170.34	172.03	173.81	178.88	180.56	181.22	181.69
2	0	1465	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2	0	1000	0.00	1.00	2.50	2.00	0.50	-0.50	-0.50	-0.50	0.00	0.00	0.00	0.50	2.00	3.00	3.00	3.50	3.50	1.50	0.00
2	0	800	0.00	2.00	4.00	3.00	3.00	2.00	2.00	1.50	2.00	3.00	2.50	3.50	4.50	5.50	6.00	6.50	6.50	3.00	0.00
2	0	600	0.00	4.00	6.00	7.00	7.00	6.00	6.50	5.50	6.00	5.00	6.00	7.00	7.50	9.00	10.00	11.00	9.50	5.00	0.00
2	0	500	0.00	5.00	7.50	9.00	9.50	8.00	8.50	7.00	7.50	7.00	7.50	9.00	10.00	11.00	12.00	13.00	11.00	6.00	0.00
2	0	400	0.00	6.00	9.00	12.00	11.50	11.00	10.00	9.50	9.00	9.00	9.00	11.00	12.00	13.00	14.50	15.00	13.00	7.00	0.00
