RANK 0
N Nodes 40
Namespace(algo='dqn', batch_size=256, checkpoint_freq=1000, continuetraining=0, data_dir='data/', discount=0.95, ent_coef=0.1, env='Aerobraking', eps_decay=5000, initialrank=0, load='', log='log.txt', lr=0.0001, niter=1000000, nominal=0, nproc=1, ntest=100, output='NN', parallel_env=1, phase='Main', print_freq=200, replay_size=50000, replaycreation=0, save_dir='breakout/', sim=0, target_update=10000, test=0, train_freq=5, train_start=10000, value_coef=0.5)
running on device cuda
-- Start Training --
iter     72 |rank     4 |loss    nan |n_ep    13 |ep_len    3.0 |ep_rew  -4.10 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    11 |no_reached_goal     0 | distance_goal 6082.62 |days_mission   0.58  |deltav   0.10 |time 00:54 rem 208:2892 |heatrate [0.057, 0.052, 0.038] |actions [6, 6, 8] |ra [10035.828, 10014.814, 9995.514, 9982.625] |hp [113.541, 113.505, 114.103] |omega [69.68, 69.53, 69.38] |corridor maneuver     0
iter     73 |rank    24 |loss    nan |n_ep    14 |ep_len    3.0 |ep_rew  -4.13 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    12 |no_reached_goal     0 | distance_goal 6072.84 |days_mission   0.58  |deltav   0.30 |time 00:54 rem 205:3401 |heatrate [0.066, 0.062, 0.039] |actions [6, 10, 6] |ra [10036.076, 10010.428, 9985.843, 9972.844] |hp [111.105, 112.947, 112.919] |omega [69.85, 69.71, 69.56] |corridor maneuver     0
iter     85 |rank    16 |loss    nan |n_ep    15 |ep_len    3.0 |ep_rew  -4.11 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    13 |no_reached_goal     0 | distance_goal 6068.85 |days_mission   0.58  |deltav   1.10 |time 00:56 rem 184:1729 |heatrate [0.093, 0.061, 0.022] |actions [6, 8, 12] |ra [10036.365, 10000.313, 9977.681, 9968.848] |hp [112.181, 112.773, 118.918] |omega [66.93, 66.78, 66.64] |corridor maneuver     0
iter     89 |rank    38 |loss    nan |n_ep    16 |ep_len    3.0 |ep_rew  -4.12 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    14 |no_reached_goal     0 | distance_goal 6090.88 |days_mission   0.58  |deltav   0.70 |time 00:56 rem 177:3129 |heatrate [0.039, 0.056, 0.043] |actions [6, 9, 1] |ra [10036.243, 10023.313, 10005.184, 9990.882] |hp [113.261, 114.473, 111.311] |omega [70.92, 70.77, 70.62] |corridor maneuver     0
iter     92 |rank    19 |loss    nan |n_ep    17 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    15 |no_reached_goal     0 | distance_goal 6088.15 |days_mission   0.58  |deltav   1.10 |time 00:57 rem 174:1839 |heatrate [0.021, 0.061, 0.045] |actions [6, 0, 8] |ra [10038.874, 10030.435, 10005.692, 9988.152] |hp [114.069, 107.719, 108.336] |omega [83.34, 83.19, 83.05] |corridor maneuver     1
iter     94 |rank    18 |loss    nan |n_ep    18 |ep_len    3.0 |ep_rew  -4.12 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    16 |no_reached_goal     0 | distance_goal 6024.24 |days_mission   0.58  |deltav   1.20 |time 00:58 rem 171:1397 |heatrate [0.138, 0.085, 0.039] |actions [6, 9, 12] |ra [10037.951, 9976.714, 9940.882, 9924.235] |hp [112.218, 113.407, 119.523] |omega [65.57, 65.41, 65.27] |corridor maneuver     0
iter    101 |rank     3 |loss    nan |n_ep    19 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    17 |no_reached_goal     0 | distance_goal 6080.42 |days_mission   0.58  |deltav   1.50 |time 00:61 rem 168:3513 |heatrate [0.024, 0.079, 0.047] |actions [6, 0, 11] |ra [10035.551, 10026.273, 9996.316, 9980.424] |hp [113.512, 107.167, 110.307] |omega [86.03, 85.88, 85.73] |corridor maneuver     1
iter    102 |rank    29 |loss    nan |n_ep    20 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    18 |no_reached_goal     0 | distance_goal 6102.69 |days_mission   0.58  |deltav   1.10 |time 00:61 rem 168:800 |heatrate [0.018, 0.042, 0.035] |actions [6, 0, 8] |ra [10039.416, 10033.226, 10016.394, 10002.694] |hp [113.889, 107.543, 108.165] |omega [85.34, 85.19, 85.04] |corridor maneuver     1
iter    107 |rank    22 |loss    nan |n_ep    21 |ep_len    4.0 |ep_rew  -4.20 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    19 |no_reached_goal     0 | distance_goal 6057.14 |days_mission   0.78  |deltav   0.15 |time 00:73 rem 190:698 |heatrate [0.037, 0.057, 0.051, 0.045] |actions [6, 6, 7, 4] |ra [10036.427, 10022.079, 9997.226, 9974.797, 9957.144] |hp [113.973, 113.942, 114.229, 113.571] |omega [71.87, 71.72, 71.57, 71.42] |corridor maneuver     0
iter    118 |rank     2 |loss    nan |n_ep    22 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    20 |no_reached_goal     0 | distance_goal 6111.86 |days_mission   0.39  |deltav   0.05 |time 00:76 rem 179:1378 |heatrate [0.039, 0.029] |actions [6, 7] |ra [10037.686, 10022.709, 10011.863] |hp [112.649, 112.942] |omega [78.18, 78.04] |corridor maneuver     0
